timestamp,coal_flow_furnace_t_h,vazao_ar_total_knm3_h,vazao_ar_prim_total_knm3_h,temp_hot_pri_air_in_preaq_ar_saida,tau_densa,tau_diluida,tau_backpass,o2_excess_pct,delta_proxy
2024-02-02 05:00:00,67.508,821.302,764.729,14.634,-0.2492019424507134,-0.5244935703037142,-0.5453126526846795,440.073,0.8168791779720227
2024-02-02 06:00:00,68.314,819.159,764.316,15.02,-0.3138219080729424,-0.4467134009804244,-0.5453604873272923,443.206,0.8071159803678147
2024-02-02 07:00:00,68.809,816.018,755.598,15.4,-0.3707773271078766,-0.3784952770534784,-0.8289489474020723,454.725,0.7982706489411424
2024-02-02 08:00:00,69.78399999999999,814.932,769.845,15.227,-0.4691794674026049,-0.5750575662862378,-0.8128921152182461,460.082,0.7919494495026932
2024-02-02 09:00:00,70.896,811.843,771.92,15.152,-0.529008063474247,-0.6358081937895238,-0.7329019362620244,461.559,0.8431367200545027
2024-02-02 10:00:00,71.312,,788.449,15.566,-0.466900073019702,-0.7939471272944586,-0.6625180507367101,469.59,0.804942086789441
2024-02-02 11:00:00,71.29400000000001,,757.671,15.599,-0.2955728391872956,-0.8322682615602527,-0.8584214024083799,469.323,0.8261109793681837
2024-02-02 12:00:00,69.339,,765.399,15.149,-0.3026498828324023,-0.5384302634545128,-0.7943768457315824,459.819,0.8165651711218131
2024-02-02 13:00:00,66.478,,758.952,14.34,-0.4345809533480737,-0.5213296559366473,-0.6953337217388159,435.881,0.8098792406496589
2024-02-02 14:00:00,67.23400000000001,,749.831,14.425,-0.2689354667848583,-0.6823497320312469,-0.6282060028719368,443.74,0.8256182301570855
2024-02-02 15:00:00,65.696,824.168,742.125,14.323,-0.2183646137167705,-0.5154715612405908,-0.5526816145721196,434.11,0.6802721851729937
2024-02-02 16:00:00,68.63,820.29,758.685,15.018,-0.2163799170059359,-0.4195773254488704,-0.7788182865682973,444.364,0.6979519510830563
2024-02-02 17:00:00,68.268,822.19,768.141,14.327,-0.2729664438785815,-0.4985538580450613,-0.7646533876106382,439.648,-0.0227982039756588
2024-02-02 18:00:00,68.712,815.863,763.796,14.876,-0.327179773474433,-0.3862179563190249,-0.7336741299798607,440.04,0.7947827574665072
2024-02-02 19:00:00,69.728,815.313,760.449,15.29,-0.3607618343999136,-0.3634692334702094,-0.7900290316811079,450.151,0.4663914334830287
2024-02-02 20:00:00,70.497,805.928,769.171,15.194,-0.563812792848042,-0.6364749776517677,-0.7620307713146958,452.332,0.455364742168742
2024-02-02 21:00:00,70.328,,764.678,15.045,-0.7363091881889743,-0.5793743303151535,-0.6783941477915273,449.456,0.0492149454258359
2024-02-02 22:00:00,70.429,,766.808,15.132,-0.6093864383181002,-0.41830947895091,-0.6649405230855786,447.23,0.5307137994830367
2024-02-02 23:00:00,70.475,,773.416,15.511,-0.5763466479202195,-0.5328749881708882,-0.8434538112258729,462.08,0.0979310547670391
2024-02-03 00:00:00,68.108,,760.856,14.859,-0.5321778309810665,-0.5858207631335618,-0.9300082469099296,443.372,0.547253836454467
2024-02-03 01:00:00,67.84700000000001,,763.343,14.893,-0.5703020617195462,-0.5876102988404807,-0.7415533379232412,445.04,0.448013614625884
2024-02-03 02:00:00,68.71199999999999,,779.584,15.264,-0.806211340475774,-0.4310049677385871,-0.7591029785422427,451.523,0.1139099272476901
2024-02-03 03:00:00,69.449,,775.478,15.119,-0.5959752090298405,-0.741010613787413,-0.8456759303497016,446.742,-0.1648326260258918
2024-02-03 04:00:00,70.33699999999999,,777.505,15.123,-0.7353696234921392,-0.6410863098328624,-0.913965385275788,449.41,0.085970583140126
2024-02-03 05:00:00,71.225,,785.135,15.109,-0.6796664377793677,-0.6192220047174848,-0.8055983276013585,451.197,-0.100917136103287
2024-02-03 06:00:00,69.738,,778.78,15.053,-0.6896357953596137,-0.6456431648815976,-0.7232013541527099,450.782,-0.2873373150442172
2024-02-03 07:00:00,67.495,,782.304,14.782,-0.52885128759488,-0.6464220519247375,-0.6011244713383355,446.104,-0.248505720059914
2024-02-03 08:00:00,65.65,,754.085,14.995,-0.3423237377642425,-0.4769609401924448,-0.8223585949088857,438.05,0.5104981987401769
2024-02-03 09:00:00,63.388000000000005,,758.13,14.482,-0.5603490282925929,-0.5769664641138702,-0.8031128605393522,432.731,0.8013358388866496
2024-02-03 10:00:00,63.205,,767.003,14.626,-0.4381700352971081,-0.4775757815631867,-0.7091052778324218,435.543,0.8063277347425757
2024-02-03 11:00:00,62.907,,750.449,14.299,-0.5402960383681192,-0.6250603527640556,-0.8975906017921195,431.537,0.6784967548973659
2024-02-03 12:00:00,61.566,,767.439,14.128,-0.4176249483942,-0.7198553189549747,-0.6967204875330885,431.015,0.4672205520976449
2024-02-03 13:00:00,63.004,,763.672,14.506,-0.5044280300774808,-0.6303378577676988,-0.669761703681525,434.353,0.8021281023241016
2024-02-03 14:00:00,63.612,,750.262,14.269,-0.385677867429444,-0.905706945044344,-0.679617567319758,432.132,0.7282088026149475
