variavel,count,mean,std,min,q25,median,q75,max
esp_comb_with_ff_b_inl_prs_1_kpa,188,-4.32888829787234,0.14640955402359074,-4.807,-4.4185,-4.3215,-4.24575,-3.832
esp_comb_with_ff_b_inl_prs_2_kpa,188,-4.294505319148936,0.13996647793245848,-4.794,-4.38225,-4.2835,-4.21175,-3.839
esp_comb_with_ff_b_outl_prs_kpa,188,-4.30156914893617,0.1461683173982533,-4.755,-4.38575,-4.2935,-4.2105,-3.792
esp_comb_with_ff_b_outl_temp_adegc,188,-5.130994680851064,0.15468600237204438,-5.579,-5.23025,-5.121,-5.039,-4.567
feed_water_flw_sel_t_h,188,-0.11260106382978737,5.2974933882250035,-13.193,-3.1305,-0.6065,2.8442499999999997,17.062
flw_of_cnd_water_before_dea_t_h,188,149.53252127659573,0.2647793644609617,148.808,149.339,149.543,149.706,150.033
flw_output_of_belt_coal_fdr_a1_t_h,187,38.57610160427807,2.6590836212264617,27.114,37.052,38.581,39.641000000000005,48.753
flw_output_of_belt_coal_fdr_a2_t_h,188,36.521223404255316,7.396757334273115,0.157,36.4275,37.635999999999996,39.1955,47.183
flw_output_of_belt_coal_fdr_b1_t_h,188,36.0676914893617,1.8812258492153617,30.227,34.798,35.757000000000005,37.304,42.632
flw_output_of_belt_coal_fdr_b2_t_h,188,36.34566489361702,2.857745287415397,32.713,34.51625,35.795500000000004,37.4645,47.892
flw_output_of_belt_coal_fdr_b3_t_h,188,33.224760638297866,1.6172311589701627,30.145,32.091499999999996,33.156499999999994,34.40625,36.984
flw_output_of_belt_coal_fdr_b4_t_h,188,33.23241489361702,1.577361134236033,30.364,32.0835,33.1295,34.374,36.888
flw_output_of_belt_coal_fdr_c1_t_h,188,32.63966489361702,1.6927169564312363,28.707,31.48775,32.3305,33.7415,36.86
flw_output_of_belt_coal_fdr_c2_t_h,188,33.23032446808511,1.559736367425181,30.483,32.079750000000004,33.102,34.3655,36.81
flw_total_a_t_h,188,74.8921329787234,6.586144420661885,46.538,73.218,76.07300000000001,78.39599999999999,83.315
flw_total_b_t_h,188,138.87053191489363,7.106554151490503,127.102,133.10424999999998,137.7245,144.0415,155.561
flw_total_c_t_h,188,65.86998936170214,2.9245689988036228,60.898,63.822,65.37450000000001,67.716,73.13
fsh_outl_hdr_pres_mpa_mi,188,0.01142553191489362,0.3032378036258736,-0.823,-0.143,0.0,0.143,1.181
fsh_outl_hdr_temp_adegc_min,188,0.0029893617021276597,0.02006379914059233,-0.063,-0.01025,0.001,0.012,0.08
furnace_bed_temp_10_12_sel_adegc,188,814.6550265957447,6.544702249457051,798.297,810.62725,814.341,818.12225,838.879
furnace_bed_temp_13_15_sel_adegc,188,812.165074468085,11.310265303951178,784.968,803.544,812.0730000000001,819.56925,840.984
furnace_bed_temp_16_18_sel_adegc,188,826.3590319148938,9.00321724902829,800.996,820.89925,826.323,831.9254999999999,847.781
furnace_bed_temp_1_3_sel_adegc,188,845.6139574468085,12.76987924173314,787.783,836.86,848.4465,853.3505,873.202
furnace_bed_temp_4_6_sel_adegc,188,836.1016382978723,7.809159857926701,816.45,831.1155,836.1714999999999,841.76575,854.534
furnace_bed_temp_7_9_sel_adegc,188,842.0536276595745,10.652275058633828,813.69,834.79525,842.327,849.3924999999999,871.914
furnace_pres_pa,188,367.9095478723404,48.344373334159194,0.071,365.819,381.0345,389.38675,419.213
hi_te_rh_ol_temp_adegc_min,188,0.0005212765957446809,0.0068055163585905,-0.032,-0.0022500000000000003,0.0,0.003,0.034
hi_temperture_reheol_pres_mpa_mi,188,69.49938297872339,13.056602339199383,49.2,58.64575,67.11449999999999,80.70249999999999,102.637
hot_reheat_steam_pressure_mpa,188,539.5380638297871,0.7080062737041981,536.665,539.059,539.61,540.0844999999999,541.035
hot_reheat_steam_temperature_1_adegc,188,3.400515957446808,0.019374296899805563,3.343,3.387,3.402,3.41425,3.449
id_fan_a_move_impeller_pos_fdb_,188,228.5919308510638,4.964660204053939,216.232,224.472,228.439,231.339,249.42
id_fan_a_outlet_pressure_kpa,188,42.64803723404255,2.3183728121103417,36.485,41.007999999999996,42.3405,44.21575,48.372
id_fan_b_move_impeller_pos_fdb_,188,225.43464361702127,6.289007812686665,208.298,220.69575,224.319,230.118,242.401
id_fan_b_outlet_pressure_kpa,188,43.6122074468085,1.807703250618638,39.262,42.055,43.55,44.982749999999996,47.731
idf_a_volumetric_flow_rate_cal_m3_s,188,3.2250372340425533,4.7272098070747335,-6.561,-0.553,3.128,6.866,17.319
idf_b_volumetric_flow_rate_cal_m3_s,188,124.9305425531915,4.7014899178215215,115.395,121.6195,124.6095,127.96724999999999,137.471
lms_pdr_bin_flud_air_htr_ol_te_adegc,155,88.17549032258066,7.585074802401267,57.313,82.946,87.885,94.667,99.975
lms_pdr_bin_flud_blwr_ol_prs_kpa,188,275.6087180851064,0.38055542056365255,274.79,275.247,275.646,275.84,276.582
lower_perc_do_ar_total_,188,5.8267462765957445,0.09560834566847809,5.6108,5.768025,5.8186,5.886775,6.0571
main_steam_flow_sel_t_h,188,798.3625478723407,10.913297059501586,758.382,793.0945,800.157,805.6787499999999,819.83
main_steam_pressure_mpa,188,860.7947500000001,6.128076391770016,843.526,856.35425,861.398,865.0485,874.652
media_horaria_so2_apos_fgd_mg_nm3,188,365.37104255319144,68.23673476045167,0.0,339.16675000000004,369.7165,402.93025,504.003
miain_steam_temperature_adegc,188,15.161026595744682,0.14161450398204875,14.79,15.055499999999999,15.1685,15.248,15.519
o2_avg_,188,449.08730319148935,18.765621887715767,417.175,434.717,443.8725,463.24525000000006,498.845
o2_excess_pct,188,449.08730319148935,18.765621887715767,417.175,434.717,443.8725,463.24525000000006,498.845
pa_fan_a_fq_speed_feedback_rpm,188,8.034425531914893,0.06436717690160418,7.944,7.944,8.08,8.08,8.08
pa_fan_b_fq_speed_feedback_rpm,188,3157.7507765957444,205.02508963821572,2272.522,3051.712,3148.91,3257.9915,4281.113
porcentagem_de_ar_primario_,188,53.73226063829788,2.195701698261215,48.57,51.8815,53.665,55.64075,58.031
press_2_3_of_furnace_b_bed_kpa,188,2.1747978723404255,0.18207788072101255,1.702,2.04325,2.1565000000000003,2.28175,2.752
pressure_1_of_furnace_a_bed_kpa,188,3.507026595744681,0.2393852070695893,2.846,3.3475,3.4965,3.655,4.178
pressure_1_of_furnace_a_upper_pa,188,8.447026595744681,0.6501307185178543,7.235,7.95375,8.3695,8.96875,10.034
